2017/09/27 15:07:54.822 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 65")
2017/09/27 15:07:55.022 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 66")
2017/09/27 15:07:55.221 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 67")
2017/09/27 15:07:55.421 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 68")
2017/09/27 15:07:55.622 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 69")
2017/09/27 15:07:55.824 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 70")
2017/09/27 15:07:56.024 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 71")
2017/09/27 15:07:56.223 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 72")
2017/09/27 15:07:56.424 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 73")
2017/09/27 15:07:56.624 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 74")
2017/09/27 15:07:56.825 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 75")
2017/09/27 15:07:57.025 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 76")
2017/09/27 15:07:57.225 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 77")
2017/09/27 15:07:57.422 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 78")
2017/09/27 15:07:57.626 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 79")
2017/09/27 15:07:57.823 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 80")
2017/09/27 15:07:58.023 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 81")
2017/09/27 15:07:58.223 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 82")
2017/09/27 15:07:58.423 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 83")
2017/09/27 15:07:58.623 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 84")
2017/09/27 15:07:58.831 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 85")
