name		priority	id	=id_hex	msp_cat	gnd_class	=calculated_id	=calculated_id_hex	data_length	senders	description	added to dbc
rc_eps_gen_8		18	535	0x217	cat_health	gnd_health	304677399	0x12290217	7	eps_gen	EPS GEN RollCall	yes
rc_eps_gen_9		18	536	0x218	cat_health	gnd_health	304677400	0x12290218	8	eps_gen	EPS GEN RollCall	yes
rc_eps_gen_h1		18	607	0x25F	cat_health	gnd_health	304677471	0x1229025F	8	eps_gen	GEN Health Rollcall 1	
rc_eps_gen_h2		18	616	0x268	cat_health	gnd_health	304677480	0x12290268	1	eps_gen	GEN Health Rollcall 2	
rc_ppt_1		18	520	0x208	cat_health	gnd_health	304677384	0x12290208	7	ppt	PPT RollCall	yes
rc_ppt_2		18	521	0x209	cat_health	gnd_health	304677385	0x12290209	8	ppt	PPT RollCall	yes
rc_ppt_3		18	522	0x20A	cat_health	gnd_health	304677386	0x1229020A	7	ppt	PPT RollCall	yes
rc_ppt_h1		18	605	0x25D	cat_health	gnd_health	304677469	0x1229025D	8	ppt	PPT Health Rollcall 1	
rc_ppt_h2		18	614	0x266	cat_health	gnd_health	304677478	0x12290266	1	ppt	PPT Health Rollcall 2	
sensorproc_imu		20	66	0x042	cat_sensor	gnd_none	335872066	0x14050042	7	adcs_sensorproc	Angular rate of the satellite in X, Y, Z directions	yes
sensorproc_mag		20	67	0x043	cat_sensor	gnd_none	335872067	0x14050043	7	adcs_sensorproc	Unit vector from both magnetometers on sensor board	yes
sensorproc_sun		20	65	0x041	cat_sensor	gnd_none	335872065	0x14050041	5	adcs_sensorproc	Angle that the sun sensor reports	yes
sync_1		0	17	0x011	cat_brd	gnd_health	2162705	0x00210011	0	ppt	Sync1 Pulse (Every 2 seconds)	yes
sync_2		0	18	0x012	cat_brd	gnd_health	2162706	0x00210012	0	eps_gen	Sync2 Pulse (Every minute)	yes
tle_1		18	68	0x044	cat_adcs	gnd_none	302448708	0x12070044	6		TLE Packet 1	yes
tle_2		18	69	0x045	cat_adcs	gnd_none	302448709	0x12070045	8		TLE Packet 2	yes
tle_3		18	70	0x046	cat_adcs	gnd_none	302448710	0x12070046	8		TLE Packet 3	yes
tle_4		18	71	0x047	cat_adcs	gnd_none	302448711	0x12070047	8		TLE Packet 4	yes
tle_5		18	72	0x048	cat_adcs	gnd_none	302448712	0x12070048	4		TLE Packet 5	yes
tle_6		18	73	0x049	cat_adcs	gnd_none	302448713	0x12070049	8		TLE Packet 6	yes
